1835,26-01-2018,01,04,09,15,17,18,20,27,53,55,62,67,68,70,74,79,84,93,94,99
1834,23-01-2018,01,06,22,23,24,35,36,37,44,51,55,58,61,68,71,77,79,81,93,94
1833,19-01-2018,01,05,07,15,16,20,25,36,37,53,57,58,76,77,78,80,82,85,88,93
1832,16-01-2018,02,20,25,36,39,47,49,50,51,52,70,75,76,77,79,80,83,90,93,95
1831,12-01-2018,01,03,05,06,09,11,26,29,31,35,53,54,62,63,66,70,79,80,87,91
1830,09-01-2018,03,05,06,10,12,16,18,21,32,38,40,44,49,50,53,61,72,77,85,93
1829,05-01-2018,03,06,08,13,14,19,24,28,31,43,46,52,59,60,74,77,82,88,89,94
1828,02-01-2018,03,14,28,29,41,43,48,51,56,57,58,63,64,68,75,82,86,88,92,98
1827,29-12-2017,04,05,06,12,13,18,19,20,22,27,29,32,41,55,62,67,68,71,83,87
1826,26-12-2017,18,26,30,31,42,43,46,48,49,55,66,71,74,75,77,84,85,86,95,97
1825,22-12-2017,32,45,52,55,56,57,60,63,68,79,81,82,85,87,88,89,93,97,98,99
1824,19-12-2017,02,06,13,15,16,17,18,31,34,35,54,63,64,66,67,69,75,87,91,00
1823,15-12-2017,03,08,20,21,25,28,29,31,42,54,69,71,76,78,82,84,88,89,94,98
1822,12-12-2017,12,14,25,29,32,37,45,50,52,54,60,61,63,73,77,78,79,82,97,98
1821,08-12-2017,03,11,13,16,26,36,38,40,54,59,61,67,69,75,80,83,90,94,99,00
1820,05-12-2017,01,08,18,22,27,29,30,31,32,52,58,66,71,76,82,83,84,85,91,95
1819,01-12-2017,03,04,10,11,15,24,26,37,45,67,68,70,72,73,76,81,83,86,93,97
1818,28-11-2017,09,11,15,16,17,20,23,34,42,43,45,54,55,56,60,70,74,76,77,80
1817,24-11-2017,02,03,24,25,27,29,33,41,56,61,64,65,66,69,73,81,93,96,97,99
1816,21-11-2017,04,08,11,12,13,22,30,34,38,45,48,54,55,59,62,67,69,78,82,85
1815,17-11-2017,06,10,17,24,37,40,41,44,45,47,48,50,61,63,66,86,87,91,95,99
1814,14-11-2017,08,09,27,28,33,35,47,50,53,56,57,66,67,73,78,79,87,91,98,00
1813,10-11-2017,06,07,08,26,32,39,46,50,51,55,63,70,73,75,78,85,86,92,93,00
1812,07-11-2017,01,18,22,25,26,28,30,39,43,44,54,61,70,75,81,94,96,97,98,99
1811,03-11-2017,02,10,26,35,43,46,53,54,55,60,66,67,69,74,81,82,88,89,91,93
